year,month,company_0,company_1,company_2,company_3,company_4,company_5,company_6,company_7,company_8,company_9
1990,January,12,18,33,41,11,2,48,36,34,17
1990,February,48,17,6,14,1,16,31,44,49,33
1990,March,41,46,44,21,27,41,23,40,9,27
,,24,24,36,29,15,32,9,4,17,0
1990,May,25,30,46,9,50,10,36,7,9,10
1990,June,17,48,-22,40,0,38,31,33,15,12
1990,July,32,13,6,39,37,4,27,22,5,24
1990,August,49,10,48,38,10,48,2,20,26,2
1990,September,40,5,26,22,12,36,33,1,26,41
1990,October,27,3,12,24,4,15,49,46,31,2
1990,November,31,27,2,12,25,41,28,41,6,33
1990,December,14,30,15,19,46,31,-48,10,16,42
1991,January,13,21,35,8,9,8,0,49,5,35
1991,February,29,2,3,40,11,47,26,42,48,29
1991,March,37,21,13,1,46,24,25,35,10,38
1991,April,4,13,10,44,27,26,1,48,40,3
1991,May,29,5,32,44,48,21,13,33,16,0
1991,June,41,20,14,45,29,40,34,13,10,15
1991,July,45,50,14,7,23,36,48,16,48,12
1991,August,5,46,2,28,1,14,47,29,46,34
1991,September,30,39,27,27,50,44,0,32,47,40
1991,October,44,13,12,3,7,40,25,44,26,37
1991,November,3,46,5,0,30,27,32,43,43,22
1991,December,30,35,20,37,49,38,34,19,38,40
1992,January,6,35,39,40,32,25,37,5,45,29
1992,February,49,33,49,37,16,6,8,0,28,29
1992,March,26,26,36,35,4,25,8,49,42,10
1992,April,23,9,7,13,11,15,9,5,1,28
1992,May,36,10,13,42,25,32,44,17,0,27
1992,June,2,2,41,41,43,45,41,38,14,29
1992,July,15,21,43,50,1,17,24,50,46,9
1992,August,30,20,0,23,24,48,14,11,14,41
1992,September,44,18,7,14,9,5,29,2,8,36
1992,October,42,26,12,11,2,37,6,1,4,34
1992,November,43,13,25,44,20,41,29,10,43,43
1992,December,32,30,48,38,8,1,7,13,35,7
1993,January,40,20,43,14,11,46,4,22,15,36
1993,February,41,8,18,25,15,1,20,37,49,17
1993,March,22,15,23,16,11,11,35,16,49,12
1993,April,1,35,16,21,50,26,25,26,1,5
1993,May,42,4,22,7,13,36,2,24,13,37
1993,June,11,41,26,26,44,14,2,20,47,24
1993,July,4,9,44,23,20,29,5,35,34,38
1993,August,43,3,16,43,16,42,5,39,7,44
1993,September,37,11,17,33,40,30,32,5,4,19
1993,October,21,47,11,24,35,27,22,20,15,38
1993,November,27,19,7,45,23,32,49,15,17,10
1993,December,14,45,25,48,7,13,14,33,37,34
1994,January,28,32,17,11,33,12,42,49,9,44
1994,February,32,29,7,46,25,33,37,44,40,11
1994,March,44,25,25,25,1,39,2,35,16,0
1994,April,47,7,5,12,48,35,2,39,11,48
1994,May,13,29,46,17,19,19,46,27,28,41
1994,June,22,37,1,0,1,4,8,41,19,9
1994,July,24,27,19,3,16,13,26,15,39,43
1994,August,1,9,21,2,43,8,48,12,47,50
1994,September,7,26,1,14,11,16,45,34,0,44
1994,October,0,1,10,3,45,34,29,39,5,1
1994,November,12,12,20,11,1,11,4,19,27,16
1994,December,5,50,36,39,2,24,47,8,40,1
1995,January,49,47,37,24,13,20,5,10,13,3
1995,February,20,38,6,2,18,3,46,36,30,23
1995,March,41,50,0,36,23,3,0,16,8,9
1995,April,11,37,37,43,21,5,46,7,19,22
1995,May,8,36,37,46,38,1,20,12,47,17
1995,June,40,24,25,12,3,23,6,41,2,2
1995,July,42,1,34,1,42,47,45,25,45,5
1995,August,10,45,6,28,37,1,26,43,12,17
1995,September,22,41,37,37,36,14,42,11,23,41
1995,October,12,15,21,33,24,43,8,10,47,39
1995,November,26,0,10,11,14,38,3,18,50,38
1995,December,24,14,50,48,46,0,40,29,35,10
1996,January,48,7,9,16,5,46,37,34,12,11
1996,February,2,33,38,25,37,5,27,31,44,1
1996,March,46,38,15,36,34,21,16,6,19,46
1996,April,7,38,19,15,45,7,29,37,4,35
1996,May,34,28,46,21,37,30,34,6,3,38
1996,June,1,35,35,18,24,24,37,35,0,7
1996,July,18,29,8,38,38,34,42,5,47,41
1996,August,25,4,6,19,0,35,37,9,15,36
1996,September,45,21,13,12,46,32,29,20,43,29
1996,October,38,49,42,7,10,32,22,32,29,46
1996,November,46,41,38,48,11,12,14,16,7,14
1996,December,13,23,18,8,19,33,34,28,17,39
1997,January,41,15,29,18,2,29,42,21,10,13
1997,February,1,6,42,34,18,1,47,13,28,48
1997,March,33,15,42,38,36,25,13,50,8,9
1997,April,18,32,25,50,36,50,20,27,26,40
1997,May,33,17,0,47,30,16,22,19,42,41
1997,June,4,1,36,5,34,21,10,21,28,25
1997,July,1,27,3,35,19,1,38,2,39,30
1997,August,23,27,47,2,12,20,0,18,1,47
1997,September,32,10,11,22,15,23,44,12,3,22
1997,October,45,29,48,31,6,23,14,40,2,31
1997,November,18,2,48,17,14,25,8,31,21,6
1997,December,49,2,25,13,45,7,4,1,47,2
1998,January,26,10,24,31,10,38,24,35,13,43
1998,February,19,32,15,1,15,1,50,34,49,24
1998,March,25,12,28,36,11,42,46,30,26,18
1998,April,21,37,5,12,47,14,17,2,3,27
1998,May,3,31,24,14,35,10,17,41,18,30
1998,June,33,12,39,2,28,48,26,25,43,0
1998,July,42,12,35,42,5,34,27,39,48,12
1998,August,36,35,21,49,16,0,12,5,26,0
1998,September,34,29,4,2,12,8,27,25,43,21
1998,October,0,17,43,17,24,50,18,31,38,8
1998,November,25,39,31,19,37,45,49,15,0,41
1998,December,19,8,4,9,39,46,47,11,40,11
1999,January,19,41,22,5,1,41,9,39,12,2
1999,February,4,32,37,31,8,46,12,37,14,42
1999,March,44,44,14,27,20,46,34,30,27,46
1999,April,15,18,6,5,4,0,13,36,42,16
1999,May,17,14,10,37,31,20,24,33,19,43
1999,June,9,14,36,49,23,0,29,4,33,41
1999,July,46,3,28,29,41,21,48,2,1,0
1999,August,15,34,47,14,22,22,27,24,26,46
1999,September,50,16,49,15,37,14,41,40,1,39
1999,October,36,15,48,13,18,4,47,23,47,43
1999,November,46,47,48,19,31,23,4,25,36,22
1999,December,34,7,8,46,38,27,34,20,14,20
2000,January,39,20,27,30,6,14,18,10,44,2
2000,February,27,3,39,36,2,16,4,8,22,37
